Observations	YearOrd	Day	quantum	GroupCount	mean_MO	median_MO	numel_MO	std_MO	Fun5_MO	Fun6_MO	mean_Fco2_21m_nee_stat_int_Ustar	median_Fco2_21m_nee_stat_int_Ustar	numel_Fco2_21m_nee_stat_int_Ustar	std_Fco2_21m_nee_stat_int_Ustar	Fun5_Fco2_21m_nee_stat_int_Ustar	Fun6_Fco2_21m_nee_stat_int_Ustar	mean_Fco2_21m_nee_stat_int	median_Fco2_21m_nee_stat_int	numel_Fco2_21m_nee_stat_int	std_Fco2_21m_nee_stat_int	Fun5_Fco2_21m_nee_stat_int	Fun6_Fco2_21m_nee_stat_int	mean_w_h2o_21m	median_w_h2o_21m	numel_w_h2o_21m	std_w_h2o_21m	Fun5_w_h2o_21m	Fun6_w_h2o_21m	mean_w_h2o_21m_Ustar	median_w_h2o_21m_Ustar	numel_w_h2o_21m_Ustar	std_w_h2o_21m_Ustar	Fun5_w_h2o_21m_Ustar	Fun6_w_h2o_21m_Ustar	mean_q	median_q	numel_q	std_q	Fun5_q	Fun6_q
1998_314_day	1998	314	day	20	11	11	20	0	11	11	NaN	NaN	0	NaN	NaN	NaN	NaN	NaN	0	NaN	NaN	NaN	1.25	1.25	1	0	1.25	1.25	1.25	1.25	1	0	1.25	1.25	1	1	20	0	1	1
1998_315_night	1998	315	night	28	11	11	28	0	11	11	NaN	NaN	0	NaN	NaN	NaN	NaN	NaN	0	NaN	NaN	NaN	0.0842857142857143	0.0245	14	0.156842119819424	-0.008	0.153	0.0842857142857143	0.0245	14	0.156842119819424	-0.008	0.153	0	0	28	0	0	0
1998_315_day	1998	315	day	20	11	11	20	0	11	11	NaN	NaN	0	NaN	NaN	NaN	NaN	NaN	0	NaN	NaN	NaN	0.720307692307692	0.649	13	0.350792765179905	0.41375	0.98925	0.720307692307692	0.649	13	0.350792765179905	0.41375	0.98925	1	1	20	0	1	1
1998_316_night	1998	316	night	28	11	11	28	0	11	11	NaN	NaN	0	NaN	NaN	NaN	NaN	NaN	0	NaN	NaN	NaN	0.608428571428572	0.2945	28	0.657509804381001	0.0465	1.19	0.67264	0.501	25	0.667967868488697	0.04075	1.2875	0	0	28	0	0	0
1998_316_day	1998	316	day	20	11	11	20	0	11	11	NaN	NaN	0	NaN	NaN	NaN	NaN	NaN	0	NaN	NaN	NaN	0.7898125	0.7685	16	0.416551272354317	0.555	1.155	0.844266666666667	0.77	15	0.36752676611306	0.61525	1.1825	1	1	20	0	1	1
1998_317_night	1998	317	night	28	11	11	28	0	11	11	NaN	NaN	0	NaN	NaN	NaN	NaN	NaN	0	NaN	NaN	NaN	0.859892857142857	0.864	28	0.516157551262081	0.458	1.24	0.859892857142857	0.864	28	0.516157551262081	0.458	1.24	0	0	28	0	0	0
1998_317_day	1998	317	day	20	11	11	20	0	11	11	NaN	NaN	0	NaN	NaN	NaN	NaN	NaN	0	NaN	NaN	NaN	0.664105263157895	0.661	19	0.51845410112252	0.399	1.05	0.664105263157895	0.661	19	0.51845410112252	0.399	1.05	1	1	20	0	1	1
1998_318_night	1998	318	night	28	11	11	28	0	11	11	NaN	NaN	0	NaN	NaN	NaN	NaN	NaN	0	NaN	NaN	NaN	0.416892857142857	0.4435	28	0.399795164153374	0.0235	0.667	0.416892857142857	0.4435	28	0.399795164153374	0.0235	0.667	0	0	28	0	0	0
1998_318_day	1998	318	day	20	11	11	20	0	11	11	NaN	NaN	0	NaN	NaN	NaN	NaN	NaN	0	NaN	NaN	NaN	0.1774	0.119	20	0.202183970419855	0.0645	0.258	0.1774	0.119	20	0.202183970419855	0.0645	0.258	1	1	20	0	1	1
1998_319_night	1998	319	night	28	11	11	28	0	11	11	NaN	NaN	0	NaN	NaN	NaN	NaN	NaN	0	NaN	NaN	NaN	0.917464285714286	0.8285	28	0.727084511983399	0.309	1.31	0.917464285714286	0.8285	28	0.727084511983399	0.309	1.31	0	0	28	0	0	0
1998_319_day	1998	319	day	20	11	11	20	0	11	11	NaN	NaN	0	NaN	NaN	NaN	NaN	NaN	0	NaN	NaN	NaN	1.60085	1.61	20	0.544142326099185	1.23	1.99	1.60085	1.61	20	0.544142326099185	1.23	1.99	1	1	20	0	1	1
1998_320_night	1998	320	night	28	11	11	28	0	11	11	NaN	NaN	0	NaN	NaN	NaN	NaN	NaN	0	NaN	NaN	NaN	0.585071428571428	0.3695	28	0.617781990107827	0.073	0.982	0.693434782608696	0.74	23	0.631809078331778	0.124	1.075	0	0	28	0	0	0
1998_320_day	1998	320	day	20	11	11	20	0	11	11	NaN	NaN	0	NaN	NaN	NaN	NaN	NaN	0	NaN	NaN	NaN	0.882846153846154	0.888	13	0.43272178247188	0.53325	1.1525	0.882846153846154	0.888	13	0.43272178247188	0.53325	1.1525	1	1	20	0	1	1
1998_321_night	1998	321	night	28	11	11	28	0	11	11	NaN	NaN	0	NaN	NaN	NaN	NaN	NaN	0	NaN	NaN	NaN	0.31264	0.049	25	0.792045709960395	0.00775	0.1835	0.538928571428571	0.167	14	1.01517489696533	0.049	0.49	0	0	28	0	0	0
1998_321_day	1998	321	day	20	11	11	20	0	11	11	NaN	NaN	0	NaN	NaN	NaN	NaN	NaN	0	NaN	NaN	NaN	0.55845	0.7025	20	0.380504025153341	0.147	0.888	0.654529411764706	0.832	17	0.326229619602332	0.405	0.90625	1	1	20	0	1	1
1998_322_night	1998	322	night	28	11	11	28	0	11	11	NaN	NaN	0	NaN	NaN	NaN	NaN	NaN	0	NaN	NaN	NaN	1.24656	0.993	25	1.2328867912343	0.3545	2.1175	1.39265217391304	1.3	23	1.17051917807657	0.368	2.2525	0	0	28	0	0	0
1998_322_day	1998	322	day	20	11	11	20	0	11	11	NaN	NaN	0	NaN	NaN	NaN	NaN	NaN	0	NaN	NaN	NaN	1.88838888888889	2.12	18	0.761630846113545	1.26	2.44	1.88838888888889	2.12	18	0.761630846113545	1.26	2.44	1	1	20	0	1	1
1998_323_night	1998	323	night	28	11	11	28	0	11	11	0.642153846153846	0.653	26	0.428244387452557	0.341	0.968	0.642153846153846	0.653	26	0.428244387452557	0.341	0.968	0.436821428571429	0.3825	28	0.441373869703614	0.231	0.769	0.491192307692308	0.403	26	0.384590277488214	0.249	0.834	0	0	28	0	0	0
1998_323_day	1998	323	day	20	11	11	20	0	11	11	0.583842105263158	0.637	19	0.466817387941163	0.32775	0.86025	0.5853	0.625	20	0.454413456527956	0.3285	0.8575	0.8224	0.673	20	0.595348407502522	0.359	1.255	0.828157894736842	0.633	19	0.611089942748737	0.352	1.2875	1	1	20	0	1	1
1998_324_night	1998	324	night	28	11	11	28	0	11	11	0.648653846153846	0.6265	26	0.427625157567484	0.28	0.943	0.648653846153846	0.6265	26	0.427625157567484	0.28	0.943	0.880892857142857	0.728	28	0.519876149017687	0.509	1.3	0.880892857142857	0.728	28	0.519876149017687	0.509	1.3	0	0	28	0	0	0
1998_324_day	1998	324	day	20	11	11	20	0	11	11	0.314722222222222	0.325	18	0.508413079569285	-0.088	0.581	0.314722222222222	0.325	18	0.508413079569285	-0.088	0.581	0.511473684210526	0.56	19	0.569985903180562	0.23575	0.7775	0.511473684210526	0.56	19	0.569985903180562	0.23575	0.7775	1	1	20	0	1	1
1998_325_night	1998	325	night	28	11	11	28	0	11	11	1.4696	1.27	5	1.17256164017078	0.6235	2.215	1.4696	1.27	5	1.17256164017078	0.6235	2.215	1.39833333333333	1.79	9	0.963109417459927	0.42	2.205	1.39833333333333	1.79	9	0.963109417459927	0.42	2.205	0	0	28	0	0	0
1998_325_day	1998	325	day	20	11	11	20	0	11	11	NaN	NaN	0	NaN	NaN	NaN	NaN	NaN	0	NaN	NaN	NaN	NaN	NaN	0	NaN	NaN	NaN	NaN	NaN	0	NaN	NaN	NaN	1	1	20	0	1	1
1998_326_night	1998	326	night	28	11	11	28	0	11	11	NaN	NaN	0	NaN	NaN	NaN	NaN	NaN	0	NaN	NaN	NaN	NaN	NaN	0	NaN	NaN	NaN	NaN	NaN	0	NaN	NaN	NaN	0	0	28	0	0	0
1998_326_day	1998	326	day	20	11	11	20	0	11	11	NaN	NaN	0	NaN	NaN	NaN	NaN	NaN	0	NaN	NaN	NaN	NaN	NaN	0	NaN	NaN	NaN	NaN	NaN	0	NaN	NaN	NaN	1	1	20	0	1	1
1998_327_night	1998	327	night	28	11	11	28	0	11	11	1.20085714285714	1.05	14	0.401244191358456	0.99	1.34	1.20085714285714	1.05	14	0.401244191358456	0.99	1.34	0.980428571428571	0.7895	14	0.505857948179391	0.668	1.4	0.980428571428571	0.7895	14	0.505857948179391	0.668	1.4	0	0	28	0	0	0
1998_327_day	1998	327	day	20	11	11	20	0	11	11	0.455909090909091	0.267	11	0.379655753162113	0.202	0.80925	0.455909090909091	0.267	11	0.379655753162113	0.202	0.80925	0.640307692307692	0.693	13	0.186870001433878	0.556	0.7315	0.640307692307692	0.693	13	0.186870001433878	0.556	0.7315	1	1	20	0	1	1
1998_328_night	1998	328	night	28	11	11	28	0	11	11	0.64037037037037	0.752	27	0.560770290839591	0.34975	0.92875	0.64037037037037	0.752	27	0.560770290839591	0.34975	0.92875	1.00978571428571	1.082	28	0.726770449120137	0.335	1.625	1.00978571428571	1.082	28	0.726770449120137	0.335	1.625	0	0	28	0	0	0
1998_328_day	1998	328	day	20	11	11	20	0	11	11	0.0932777777777778	0.1325	18	0.625372153253852	-0.191	0.503	0.0932777777777778	0.1325	18	0.625372153253852	-0.191	0.503	0.879157894736842	1	19	0.386495545921999	0.4765	1.16	0.879157894736842	1	19	0.386495545921999	0.4765	1.16	1	1	20	0	1	1
1998_329_night	1998	329	night	29	11	11	29	0	11	11	0.573892857142857	0.6205	28	0.435385851799401	0.3315	0.929	0.573892857142857	0.6205	28	0.435385851799401	0.3315	0.929	0.976827586206897	0.702	29	0.692315992518977	0.47425	1.5125	0.976827586206897	0.702	29	0.692315992518977	0.47425	1.5125	0	0	29	0	0	0
1998_329_day	1998	329	day	19	11	11	19	0	11	11	0.346222222222222	0.3715	18	0.692156353940823	-0.139	0.815	0.346222222222222	0.3715	18	0.692156353940823	-0.139	0.815	1.12205263157895	1.21	19	0.296708138240672	0.86625	1.3775	1.12205263157895	1.21	19	0.296708138240672	0.86625	1.3775	1	1	19	0	1	1
1998_330_night	1998	330	night	29	11	11	29	0	11	11	0.684611111111111	0.612	18	0.378880415541693	0.428	0.813	0.556708333333333	0.5015	24	0.400346966818258	0.2435	0.751	0.117931034482759	0.085	29	0.111313884076414	0.02275	0.18725	0.165263157894737	0.175	19	0.110249636988701	0.08	0.24025	0	0	29	0	0	0
1998_330_day	1998	330	day	19	11	11	19	0	11	11	0.3544375	0.35	16	0.332765376554312	0.085	0.527	0.334894736842105	0.296	19	0.307955966321457	0.08825	0.45425	0.244526315789474	0.226	19	0.162561225532978	0.112	0.36075	0.2729375	0.2955	16	0.156235065952984	0.137	0.3705	1	1	19	0	1	1
1998_331_night	1998	331	night	29	11	11	29	0	11	11	0.412066666666667	0.361	15	0.263755965854442	0.24725	0.643	0.342909090909091	0.29	22	0.24174482987349	0.184	0.466	0.0601724137931035	0.024	29	0.0999003321049525	-0.00125	0.09925	0.0929375	0.0495	16	0.118585254142326	0.005	0.149	0	0	29	0	0	0
1998_331_day	1998	331	day	19	11	11	19	0	11	11	0.195	0.246	17	0.336405818915191	-0.0655	0.3815	0.196105263157895	0.246	19	0.320243985933094	-0.017	0.3455	0.432421052631579	0.391	19	0.459163044848326	0.07375	0.5215	0.474176470588235	0.407	17	0.468491626832076	0.1815	0.54225	1	1	19	0	1	1
1998_332_night	1998	332	night	29	11	11	29	0	11	11	0.74752	0.659	25	0.352641120687874	0.47925	1.0225	0.74752	0.659	25	0.352641120687874	0.47925	1.0225	0.105862068965517	0.112	29	0.204528853035795	0.01525	0.23425	0.112185185185185	0.121	27	0.210822936468759	0.0205	0.23675	0	0	29	0	0	0
1998_332_day	1998	332	day	19	11	11	19	0	11	11	-0.134684210526316	-0.067	19	0.516661726065795	-0.538	0.3115	-0.134684210526316	-0.067	19	0.516661726065795	-0.538	0.3115	0.389	0.381	19	0.270852973646835	0.1115	0.62725	0.389	0.381	19	0.270852973646835	0.1115	0.62725	1	1	19	0	1	1
1998_333_night	1998	333	night	29	11	11	29	0	11	11	0.593074074074074	0.545	27	0.594368179467519	0.164	0.92425	0.593074074074074	0.545	27	0.594368179467519	0.164	0.92425	0.562214285714286	0.639	28	0.514015661754679	0.1715	0.772	0.562214285714286	0.639	28	0.514015661754679	0.1715	0.772	0	0	29	0	0	0
