Observations	YearOrd	Day	quantum	GroupCount	mean_MO	median_MO	numel_MO	std_MO	Fun5_MO	Fun6_MO	mean_Fco2_21m_nee_stat_int_Ustar	median_Fco2_21m_nee_stat_int_Ustar	numel_Fco2_21m_nee_stat_int_Ustar	std_Fco2_21m_nee_stat_int_Ustar	Fun5_Fco2_21m_nee_stat_int_Ustar	Fun6_Fco2_21m_nee_stat_int_Ustar	mean_Fco2_21m_nee_stat_int	median_Fco2_21m_nee_stat_int	numel_Fco2_21m_nee_stat_int	std_Fco2_21m_nee_stat_int	Fun5_Fco2_21m_nee_stat_int	Fun6_Fco2_21m_nee_stat_int	mean_w_h2o_21m	median_w_h2o_21m	numel_w_h2o_21m	std_w_h2o_21m	Fun5_w_h2o_21m	Fun6_w_h2o_21m	mean_w_h2o_21m_Ustar	median_w_h2o_21m_Ustar	numel_w_h2o_21m_Ustar	std_w_h2o_21m_Ustar	Fun5_w_h2o_21m_Ustar	Fun6_w_h2o_21m_Ustar	mean_q	median_q	numel_q	std_q	Fun5_q	Fun6_q
2000_42_day	2000	42	day	20	2	2	20	0	2	2	0.331388888888889	0.51	18	0.555498942540306	-0.097	0.696	0.331388888888889	0.51	18	0.555498942540306	-0.097	0.696	2.21783333333333	1.915	18	1.84256260967931	0.415	3.51	2.21783333333333	1.915	18	1.84256260967931	0.415	3.51	1	1	20	0	1	1
2000_43_night	2000	43	night	28	2	2	28	0	2	2	0.641384615384615	0.5895	26	0.647788056507564	0.3	0.979	0.641384615384615	0.5895	26	0.647788056507564	0.3	0.979	1.24482142857143	1.36	28	0.766136389248818	0.6065	1.705	1.24482142857143	1.36	28	0.766136389248818	0.6065	1.705	0	0	28	0	0	0
2000_43_day	2000	43	day	20	2	2	20	0	2	2	0.515842105263158	0.625	19	0.579015473134056	-0.0365	0.93325	0.515842105263158	0.625	19	0.579015473134056	-0.0365	0.93325	0.6598	0.6895	20	0.473780384388779	0.1655	0.873	0.6598	0.6895	20	0.473780384388779	0.1655	0.873	1	1	20	0	1	1
2000_44_night	2000	44	night	27	2	2	27	0	2	2	0.272148148148148	0.221	27	0.479709583915399	0.121	0.56425	0.272148148148148	0.221	27	0.479709583915399	0.121	0.56425	2.21148148148148	2.24	27	0.475820778345601	1.8525	2.5175	2.21148148148148	2.24	27	0.475820778345601	1.8525	2.5175	0	0	27	0	0	0
2000_44_day	2000	44	day	21	2	2	21	0	2	2	0.500809523809524	0.476	21	0.604210279542447	0.256	0.792	0.500809523809524	0.476	21	0.604210279542447	0.256	0.792	3.25714285714286	3.3	21	0.863551636308697	2.4625	4.1375	3.25714285714286	3.3	21	0.863551636308697	2.4625	4.1375	1	1	21	0	1	1
2000_45_night	2000	45	night	27	2	2	27	0	2	2	0.341296296296296	0.314	27	0.527729885366398	0.04025	0.70625	0.341296296296296	0.314	27	0.527729885366398	0.04025	0.70625	2.05296296296296	2.05	27	0.577593247981622	1.7075	2.4825	2.05296296296296	2.05	27	0.577593247981622	1.7075	2.4825	0	0	27	0	0	0
2000_45_day	2000	45	day	21	2	2	21	0	2	2	0.101952380952381	0.099	21	0.492433698703742	-0.20875	0.51675	0.101952380952381	0.099	21	0.492433698703742	-0.20875	0.51675	3.111	3.21	20	0.710455006168212	2.69	3.59	3.111	3.21	20	0.710455006168212	2.69	3.59	1	1	21	0	1	1
2000_46_night	2000	46	night	27	2	2	27	0	2	2	0.58584	0.544	25	0.493864073742293	0.3745	0.90775	0.58584	0.544	25	0.493864073742293	0.3745	0.90775	1.29259259259259	1.35	27	0.75854933713378	0.88925	1.715	1.34257692307692	1.37	26	0.726812887782099	0.929	1.72	0	0	27	0	0	0
2000_46_day	2000	46	day	21	2	2	21	0	2	2	0.62005	0.6675	20	0.474415593402196	0.416	0.9075	0.62005	0.6675	20	0.474415593402196	0.416	0.9075	3.05226315789474	2.85	19	1.5810336225993	1.81	3.775	3.05226315789474	2.85	19	1.5810336225993	1.81	3.775	1	1	21	0	1	1
2000_47_night	2000	47	night	27	2	2	27	0	2	2	0.5316	0.427	25	0.669100079709057	0.00275	0.96625	0.501423076923077	0.4245	26	0.673397307572694	0.002	0.935	1.00022222222222	1.2	27	0.871271234520321	0.141	1.67	1.078	1.21	25	0.8586444258248	0.17925	1.7625	0	0	27	0	0	0
2000_47_day	2000	47	day	21	2	2	21	0	2	2	0.7285	0.451	20	0.738962537331188	0.2195	1.33	0.7285	0.451	20	0.738962537331188	0.2195	1.33	1.22304761904762	1.12	21	0.859930606281139	0.53375	1.755	1.22304761904762	1.12	21	0.859930606281139	0.53375	1.755	1	1	21	0	1	1
2000_48_night	2000	48	night	26	2	2	26	0	2	2	0.690692307692308	0.648	13	0.387380386832586	0.484	0.96725	0.6901875	0.6255	16	0.35973679614407	0.483	0.969	0.130884615384615	0.106	26	0.204043784893944	-0.024	0.235	0.188785714285714	0.1825	14	0.245896531890152	-0.024	0.334	0	0	26	0	0	0
2000_48_day	2000	48	day	22	2	2	22	0	2	2	0.667	0.5325	16	0.565436704385793	0.2955	1.14	0.606631578947369	0.473	19	0.559393243764698	0.27375	1.055	0.492736842105263	0.273	19	0.564827883528864	0.12525	0.73625	0.613142857142857	0.3765	14	0.602766679843594	0.153	0.928	1	1	22	0	1	1
2000_49_night	2000	49	night	26	2	2	26	0	2	2	0.673076923076923	0.883	13	0.615500671748681	0.1085	0.99775	0.780666666666667	0.889	15	0.644787303431656	0.2065	1.1725	0.92804347826087	0.445	23	1.05555351607412	-0.02225	1.975	1.45992857142857	1.845	14	1.04000269705906	1.12	2.24	0	0	26	0	0	0
2000_49_day	2000	49	day	22	2	2	22	0	2	2	0.31378947368421	0.479	19	1.21437160608309	-0.49175	1.04125	0.31378947368421	0.479	19	1.21437160608309	-0.49175	1.04125	1.86419047619048	1.93	21	1.33734395796473	1.056	2.5925	1.86419047619048	1.93	21	1.33734395796473	1.056	2.5925	1	1	22	0	1	1
2000_50_night	2000	50	night	26	2	2	26	0	2	2	0.551863636363636	0.595	22	0.629698287198268	0.013	0.973	0.551863636363636	0.595	22	0.629698287198268	0.013	0.973	0.706423076923077	0.578	26	0.529248612512261	0.263	1.13	0.714708333333334	0.578	24	0.528908924449492	0.311	1.107	0	0	26	0	0	0
2000_50_day	2000	50	day	22	2	2	22	0	2	2	0.357619047619048	0.179	21	0.790694914375353	-0.245	1.08	0.357619047619048	0.179	21	0.790694914375353	-0.245	1.08	2.16295238095238	2.33	21	1.10739249935109	1.1225	3.205	2.16295238095238	2.33	21	1.10739249935109	1.1225	3.205	1	1	22	0	1	1
2000_51_night	2000	51	night	26	2	2	26	0	2	2	0.11395	0.2595	20	0.838170154500109	-0.1945	0.6425	0.0970454545454545	0.2365	22	0.810280226498552	-0.247	0.611	0.286538461538462	0.1355	26	0.336194970904591	0.017	0.413	0.36985	0.3055	20	0.34209636607864	0.0725	0.6725	0	0	26	0	0	0
2000_51_day	2000	51	day	22	2	2	22	0	2	2	0.354705882352941	0.268	17	0.740695177241107	-0.053	1.02	0.427368421052632	0.306	19	0.731513439576268	-1.38777878078145e-17	1.02	0.584	0.4345	22	0.52522067924327	0.139	0.889	0.662578947368421	0.778	19	0.521764348233682	0.169	0.949	1	1	22	0	1	1
2000_52_night	2000	52	night	26	2	2	26	0	2	2	0.4738125	0.422	16	0.531655805792933	0.01	0.9225	0.471631578947368	0.432	19	0.52450815167125	0.005	0.98625	0.231961538461538	0.0715	26	0.2831802932083	0.003	0.446	0.374625	0.3835	16	0.277654431503143	0.1075	0.577	0	0	26	0	0	0
2000_52_day	2000	52	day	22	2	2	22	0	2	2	0.524666666666667	0.673	21	0.562704392495148	0.19525	0.93925	0.524666666666667	0.673	21	0.562704392495148	0.19525	0.93925	0.5795	0.421	22	0.490148058292205	0.142	1.08	0.603285714285714	0.432	21	0.489068823669751	0.17875	1.115	1	1	22	0	1	1
2000_53_night	2000	53	night	26	2	2	26	0	2	2	0.698947368421053	0.741	19	0.67680289873987	0.39425	1.14	0.591045454545455	0.603	22	0.69905790190545	0.304	1.11	0.385230769230769	0.148	26	0.481082887468869	-0.007	0.937	0.483047619047619	0.379	21	0.486860501190072	0.0315	0.9785	0	0	26	0	0	0
2000_53_day	2000	53	day	22	2	2	22	0	2	2	0.45205	0.462	20	0.591699290180409	-0.0425	0.9595	0.409619047619048	0.359	21	0.608613791840973	-0.063	0.93425	0.769045454545455	0.3345	22	0.893378364746652	0.055	1.67	0.805571428571429	0.356	21	0.898449974758115	0.07675	1.6975	1	1	22	0	1	1
2000_54_night	2000	54	night	26	2	2	26	0	2	2	0.351846153846154	0.336	13	0.258008671092609	0.20225	0.43125	0.3674375	0.35	16	0.360062766519024	0.1765	0.549	0.0725	0.0055	26	0.17969401770788	-0.04	0.103	0.172769230769231	0.103	13	0.208768274188614	0.0125	0.2975	0	0	26	0	0	0
2000_54_day	2000	54	day	22	2	2	22	0	2	2	0.575727272727273	0.6125	22	0.69650578104586	0.224	1.12	0.575727272727273	0.6125	22	0.69650578104586	0.224	1.12	0.737454545454545	0.7435	22	0.747334866440341	0.205	1.04	0.737454545454545	0.7435	22	0.747334866440341	0.205	1.04	1	1	22	0	1	1
2000_55_night	2000	55	night	26	2	2	26	0	2	2	0.528583333333333	0.5605	12	0.500037536469801	0.103	0.8475	0.4075	0.341	16	0.498692156211291	0.004	0.7165	0.141576923076923	0.0095	26	0.304184440506338	-0.006	0.412	0.285384615384615	0.412	13	0.38415394884116	0.2145	0.50575	0	0	26	0	0	0
2000_55_day	2000	55	day	22	2	2	22	0	2	2	0.575947368421053	0.438	19	1.04151969489482	-0.10825	1.4075	0.45065	0.3625	20	1.15830008269833	-0.179	1.405	0.391590909090909	0.4045	22	0.30302029777855	0.12	0.601	0.405142857142857	0.42	21	0.303595007487654	0.12075	0.607	1	1	22	0	1	1
2000_56_night	2000	56	night	26	2	2	26	0	2	2	0.341285714285714	0.43	21	0.679995672255136	-0.405	0.93	0.341285714285714	0.43	21	0.679995672255136	-0.405	0.93	1.56192307692308	1.375	26	0.863087477516708	0.96	2.06	1.56192307692308	1.375	26	0.863087477516708	0.96	2.06	0	0	26	0	0	0
2000_56_day	2000	56	day	22	2	2	22	0	2	2	0.629523809523809	0.324	21	0.805806901127536	0.069	1.3225	0.629523809523809	0.324	21	0.805806901127536	0.069	1.3225	1.52595454545455	1.465	22	0.8521925490713	1.09	1.89	1.52595454545455	1.465	22	0.8521925490713	1.09	1.89	1	1	22	0	1	1
2000_57_night	2000	57	night	26	2	2	26	0	2	2	0.349846153846154	0.419	26	0.676301512185664	-0.013	0.762	0.349846153846154	0.419	26	0.676301512185664	-0.013	0.762	0.904307692307692	0.7735	26	0.533171249729823	0.567	1.18	0.904307692307692	0.7735	26	0.533171249729823	0.567	1.18	0	0	26	0	0	0
2000_57_day	2000	57	day	22	2	2	22	0	2	2	0.213772727272727	0.117	22	0.531431215082099	-0.098	0.648	0.213772727272727	0.117	22	0.531431215082099	-0.098	0.648	1.05422727272727	1.115	22	0.36940942981985	0.827	1.28	1.05422727272727	1.115	22	0.36940942981985	0.827	1.28	1	1	22	0	1	1
2000_58_night	2000	58	night	26	2	2	26	0	2	2	0.297352941176471	0.357	17	0.832635795319333	-0.1265	0.88825	0.153636363636364	0.094	22	0.78845252569916	-0.342	0.85	0.0294230769230769	-0.0115	26	0.186297004393935	-0.046	0.083	0.0485555555555555	-0.0015	18	0.222927902410628	-0.054	0.097	0	0	26	0	0	0
2000_58_day	2000	58	day	22	2	2	22	0	2	2	0.560055555555556	0.701	18	0.772965220450535	-0.187	0.987	0.62321052631579	0.716	19	0.800040386407487	-0.14775	1.01175	0.509454545454545	0.4355	22	0.539550494329063	0.062	0.834	0.535380952380952	0.467	21	0.538649373543725	0.07625	0.8905	1	1	22	0	1	1
2000_59_night	2000	59	night	26	2	2	26	0	2	2	0.526153846153846	0.519	26	0.402323421372178	0.27	0.802	0.526153846153846	0.519	26	0.402323421372178	0.27	0.802	0.222115384615385	0.205	26	0.307567270940596	0.025	0.306	0.222115384615385	0.205	26	0.307567270940596	0.025	0.306	0	0	26	0	0	0
2000_59_day	2000	59	day	22	2	2	22	0	2	2	0.6845	0.6205	22	0.546473259921768	0.47	1.07	0.6845	0.6205	22	0.546473259921768	0.47	1.07	0.535727272727273	0.5985	22	0.351925882594371	0.221	0.802	0.535727272727273	0.5985	22	0.351925882594371	0.221	0.802	1	1	22	0	1	1
2000_60_night	2000	60	night	26	2	2	26	0	2	2	0.686190476190476	0.596	21	0.431781845269995	0.40975	1.0175	0.689318181818182	0.644	22	0.421631229796126	0.447	1.01	0.246538461538461	0.2995	26	0.325611330364191	-0.029	0.462	0.316333333333333	0.379	21	0.324395489076734	0.037	0.52625	0	0	26	0	0	0
2000_60_day	2000	60	day	22	2	2	22	0	2	2	0.423363636363636	0.4645	22	0.818020872096884	0.033	1.02	0.423363636363636	0.4645	22	0.818020872096884	0.033	1.02	0.561681818181818	0.5355	22	0.38787926280071	0.291	0.833	0.561681818181818	0.5355	22	0.38787926280071	0.291	0.833	1	1	22	0	1	1
2000_61_night	2000	61	night	26	3	3	26	0	3	3	-0.0776	-0.201	5	0.888741976053792	-0.779	0.72725	0.149769230769231	0.276	13	0.569495852171924	-0.042	0.54825	0.0148461538461538	-0.009	26	0.135207305219117	-0.036	0.049	0.09425	0.0565	8	0.203246331894505	-0.027	0.074	0	0	26	0	0	0
2000_61_day	2000	61	day	22	3	3	22	0	3	3	0.3201875	0.3765	16	0.591082196060751	-0.1565	0.7275	0.203526315789474	0.371	19	0.713119700753204	-0.24425	0.61575	0.257272727272727	0.2845	22	0.236264214854428	0.086	0.414	0.308111111111111	0.3385	18	0.231103462668815	0.142	0.445	1	1	22	0	1	1
2000_62_night	2000	62	night	26	3	3	26	0	3	3	0.3360625	0.302	16	0.306079176848083	0.197	0.4605	0.364444444444444	0.3455	18	0.30880875906166	0.206	0.475	0.132615384615385	0.0665	26	0.21108786358729	-0.007	0.296	0.17925	0.11	16	0.227038469574358	0.029	0.361	0	0	26	0	0	0
2000_62_day	2000	62	day	22	3	3	22	0	3	3	0.329454545454545	0.3575	22	0.253508096474955	0.266	0.461	0.329454545454545	0.3575	22	0.253508096474955	0.266	0.461	0.680863636363636	0.6375	22	0.326132502352815	0.494	1	0.680863636363636	0.6375	22	0.326132502352815	0.494	1	1	1	22	0	1	1
2000_63_night	2000	63	night	26	3	3	26	0	3	3	-0.5205	-0.4235	4	0.882706633032742	-1.2475	0.2065	-0.1044	0.176	10	0.738531907081731	-0.763	0.323	0.0326538461538462	0.003	26	0.16569392078352	-0.045	0.027	0.2358	0.249	5	0.309936606421378	0.02	0.43	0	0	26	0	0	0
2000_63_day	2000	63	day	22	3	3	22	0	3	3	0.525764705882353	0.415	17	0.746530184370646	0.08725	0.95225	0.337526315789474	0.332	19	0.910569746454326	-0.12425	0.82425	0.868227272727273	0.433	22	0.97352515714887	0.073	1.74	1.04655555555556	0.9605	18	0.990221972870505	0.127	1.95	1	1	22	0	1	1
2000_64_night	2000	64	night	26	3	3	26	0	3	3	0.506761904761905	0.55	21	0.852282517992825	-0.106	1.1275	0.504217391304348	0.55	23	0.813091348805272	-0.03425	1.095	0.135846153846154	0.033	26	0.246524593873746	-0.049	0.309	0.17847619047619	0.081	21	0.255844995856401	-0.03775	0.35325	0	0	26	0	0	0
2000_64_day	2000	64	day	22	3	3	22	0	3	3	0.38535	0.4085	20	0.900478017791837	-0.1605	0.9925	0.38535	0.4085	20	0.900478017791837	-0.1605	0.9925	0.705272727272727	0.76	22	0.455715991528786	0.384	0.969	0.705272727272727	0.76	22	0.455715991528786	0.384	0.969	1	1	22	0	1	1
2000_65_night	2000	65	night	26	3	3	26	0	3	3	0.483533333333333	0.749	15	0.73416676449921	-0.126	0.9395	0.418470588235294	0.484	17	0.713650484975581	-0.181	0.9145	1.87261538461538	0.1495	26	2.26812795189201	-0.022	4.01	3.2612	3.42	15	2.07440284694863	1.815	4.8875	0	0	26	0	0	0
2000_65_day	2000	65	day	22	3	3	22	0	3	3	0.660842105263158	0.583	19	0.872288577578028	0.22275	1.445	0.660842105263158	0.583	19	0.872288577578028	0.22275	1.445	0.400636363636364	0.3755	22	0.341542236871371	0.036	0.648	0.451578947368421	0.424	19	0.338028321592778	0.224	0.65925	1	1	22	0	1	1
2000_66_night	2000	66	night	26	3	3	26	0	3	3	0.431142857142857	0.38	14	0.660890641150591	0.274	0.863	0.431142857142857	0.38	14	0.660890641150591	0.274	0.863	0.875136363636363	0.5695	22	0.999909724280126	0.006	1.35	0.875136363636363	0.5695	22	0.999909724280126	0.006	1.35	0	0	26	0	0	0
2000_66_day	2000	66	day	22	3	3	22	0	3	3	-0.2128	0.2765	10	1.18710037018312	-1.3	0.713	-0.2128	0.2765	10	1.18710037018312	-1.3	0.713	0.780466666666667	0.674	15	0.589622623459479	0.35525	1.16	0.780466666666667	0.674	15	0.589622623459479	0.35525	1.16	1	1	22	0	1	1
2000_67_night	2000	67	night	26	3	3	26	0	3	3	0.669333333333333	0.698	21	0.712555986104484	0.12175	1.215	0.663652173913044	0.698	23	0.718801629525626	0.12125	1.245	1.33268	0.366	25	1.7049561509513	-0.01225	2.4725	1.682	1.43	20	1.74039662751128	0.1585	3.04	0	0	26	0	0	0
2000_67_day	2000	67	day	22	3	3	22	0	3	3	0.596875	0.4435	16	0.774755606627019	0.087	1.0885	0.487157894736842	0.266	19	0.758585252160442	-0.1235	0.91325	0.811684210526316	0.531	19	0.817698671246972	0.29625	1.2405	0.868176470588235	0.531	17	0.839165972505895	0.30275	1.4575	1	1	22	0	1	1
2000_68_night	2000	68	night	25	3	3	25	0	3	3	0.849	0.984	15	0.778230502027333	0.21875	1.245	0.849	0.984	15	0.778230502027333	0.21875	1.245	1.33819047619048	0.344	21	1.75058537692532	-0.012	2.5525	1.33819047619048	0.344	21	1.75058537692532	-0.012	2.5525	0	0	25	0	0	0
2000_68_day	2000	68	day	23	3	3	23	0	3	3	0.284384615384615	0.463	13	0.689971924363779	-0.07075	0.735	0.284384615384615	0.463	13	0.689971924363779	-0.07075	0.735	0.671923076923077	0.378	13	0.590626709738402	0.30925	1.1175	0.671923076923077	0.378	13	0.590626709738402	0.30925	1.1175	1	1	23	0	1	1
2000_69_night	2000	69	night	25	3	3	25	0	3	3	0.323142857142857	0.3685	14	0.509406571360299	-0.086	0.586	0.2964	0.314	15	0.501684562250026	-0.084	0.56925	0.51896	0.302	25	0.601534252280505	0.0015	1.1125	0.892	0.9875	14	0.564335143196092	0.421	1.18	0	0	25	0	0	0
2000_69_day	2000	69	day	23	3	3	23	0	3	3	0.805647058823529	0.966	17	0.87035933248691	-0.05475	1.39	0.563782608695652	0.451	23	0.892973477999805	-0.30725	1.3725	1.53759090909091	1.2	22	1.24936935173562	0.488	2.58	2.0550625	2.225	16	1.05837116795889	1.048	2.87	1	1	23	0	1	1
2000_70_night	2000	70	night	25	3	3	25	0	3	3	0.47928	0.543	25	0.351835960830233	0.255	0.70475	0.47928	0.543	25	0.351835960830233	0.255	0.70475	0.24132	0.167	25	0.312209294117477	-0.03	0.44075	0.24132	0.167	25	0.312209294117477	-0.03	0.44075	0	0	25	0	0	0
2000_70_day	2000	70	day	23	3	3	23	0	3	3	0.498695652173913	0.527	23	0.594863195486049	0.25375	0.95125	0.498695652173913	0.527	23	0.594863195486049	0.25375	0.95125	0.561913043478261	0.677	23	0.385484336793395	0.29125	0.8235	0.561913043478261	0.677	23	0.385484336793395	0.29125	0.8235	1	1	23	0	1	1
2000_71_night	2000	71	night	24	3	3	24	0	3	3	0.300041666666667	0.294	24	0.439379550608302	-0.031	0.596	0.300041666666667	0.294	24	0.439379550608302	-0.031	0.596	0.470666666666667	0.4715	24	0.403328398580424	0.1435	0.6815	0.470666666666667	0.4715	24	0.403328398580424	0.1435	0.6815	0	0	24	0	0	0
2000_71_day	2000	71	day	24	3	3	24	0	3	3	0.466166666666667	0.487	24	0.333539211783415	0.274	0.6385	0.466166666666667	0.487	24	0.333539211783415	0.274	0.6385	1.25095833333333	1.085	24	0.600473036658286	0.9305	1.415	1.25095833333333	1.085	24	0.600473036658286	0.9305	1.415	1	1	24	0	1	1
2000_72_night	2000	72	night	24	3	3	24	0	3	3	0.224409090909091	0.267	22	0.387282923417187	0.013	0.405	0.250695652173913	0.274	23	0.398827079729664	0.01975	0.405	0.870083333333333	1.0075	24	0.461322570976918	0.6875	1.175	0.948227272727273	1.035	22	0.395185059942467	0.748	1.18	0	0	24	0	0	0
2000_72_day	2000	72	day	24	3	3	24	0	3	3	0.624333333333333	0.5175	18	0.678434703607373	0.26	0.875	0.53595	0.402	20	0.709685139599542	0.153	0.808	2.308125	2.325	24	1.40940096163305	1.5	3.21	2.574	2.82	21	1.2982606440927	1.6875	3.28	1	1	24	0	1	1
2000_73_night	2000	73	night	24	3	3	24	0	3	3	0.34475	0.3095	24	0.537080695904297	-0.1075	0.77	0.34475	0.3095	24	0.537080695904297	-0.1075	0.77	0.411791666666667	0.3195	24	0.417316893370917	0.106	0.705	0.411791666666667	0.3195	24	0.417316893370917	0.106	0.705	0	0	24	0	0	0
2000_73_day	2000	73	day	24	3	3	24	0	3	3	0.30175	0.293	24	0.548532449200671	-0.1735	0.5825	0.30175	0.293	24	0.548532449200671	-0.1735	0.5825	0.913625	0.933	24	0.481230832481082	0.582	1.225	0.913625	0.933	24	0.481230832481082	0.582	1.225	1	1	24	0	1	1
2000_74_night	2000	74	night	24	3	3	24	0	3	3	0.591625	0.6565	24	0.567561282843191	0.324	0.861	0.591625	0.6565	24	0.567561282843191	0.324	0.861	0.578458333333333	0.394	24	0.608625534846072	0.216	0.874	0.578458333333333	0.394	24	0.608625534846072	0.216	0.874	0	0	24	0	0	0
2000_74_day	2000	74	day	24	3	3	24	0	3	3	0.329	0.2385	24	0.579584183779161	-0.087	0.7595	0.329	0.2385	24	0.579584183779161	-0.087	0.7595	1.03366666666667	0.991	24	0.405866509074604	0.8565	1.245	1.03366666666667	0.991	24	0.405866509074604	0.8565	1.245	1	1	24	0	1	1
2000_75_night	2000	75	night	24	3	3	24	0	3	3	0.449947368421053	0.384	19	0.904733445931527	0.20375	0.85775	0.449947368421053	0.384	19	0.904733445931527	0.20375	0.85775	0.503083333333333	0.4165	24	0.610964804840363	0.013	0.8275	0.60365	0.5365	20	0.619396333877633	0.13	0.8825	0	0	24	0	0	0
2000_75_day	2000	75	day	24	3	3	24	0	3	3	0.39195652173913	0.345	23	0.437742294284587	0.15825	0.68575	0.39195652173913	0.345	23	0.437742294284587	0.15825	0.68575	0.469478260869565	0.448	23	0.432516407420282	0.2545	0.74325	0.469478260869565	0.448	23	0.432516407420282	0.2545	0.74325	1	1	24	0	1	1
2000_76_night	2000	76	night	24	3	3	24	0	3	3	0.0874285714285714	0.021	7	0.577630752050378	-0.37075	0.631	0.2465	0.074	8	0.69887174380262	-0.2515	0.82	0.297608695652174	0.022	23	0.685074497550212	-0.09125	0.36175	0.787285714285714	0.285	7	1.07933184799451	-0.11075	1.91	0	0	24	0	0	0
2000_76_day	2000	76	day	24	3	3	24	0	3	3	0.761058823529412	0.773	17	1.413552504799	-0.04725	1.6875	0.700578947368421	0.767	19	1.35881461068051	-0.13575	1.4825	2.69286363636364	3.04	22	1.93702133369412	1.17	3.75	2.92578947368421	3.13	19	1.85007001606087	1.8925	4.0525	1	1	24	0	1	1
2000_77_night	2000	77	night	24	3	3	24	0	3	3	0.486578947368421	0.74	19	0.65632938172075	0.0187499999999999	0.96775	0.486578947368421	0.74	19	0.65632938172075	0.0187499999999999	0.96775	0.719260869565217	0.654	23	0.372652801776582	0.46825	1.02925	0.731727272727273	0.685	22	0.376481477672279	0.475	1.07	0	0	24	0	0	0
2000_77_day	2000	77	day	24	3	3	24	0	3	3	0.532304347826087	0.673	23	0.685578086181993	-0.00500000000000001	1.155	0.532304347826087	0.673	23	0.685578086181993	-0.00500000000000001	1.155	3.08079166666667	3.235	24	1.56395382393656	1.82	4.195	3.08079166666667	3.235	24	1.56395382393656	1.82	4.195	1	1	24	0	1	1
2000_78_night	2000	78	night	24	3	3	24	0	3	3	0.567916666666667	0.7905	24	0.606441288363419	0.0205	0.912	0.567916666666667	0.7905	24	0.606441288363419	0.0205	0.912	0.8065	0.786	24	0.342249464064115	0.533	1.045	0.8065	0.786	24	0.342249464064115	0.533	1.045	0	0	24	0	0	0
2000_78_day	2000	78	day	24	3	3	24	0	3	3	0.345208333333333	0.359	24	0.625578339664962	-0.083	0.7575	0.345208333333333	0.359	24	0.625578339664962	-0.083	0.7575	1.06941666666667	1.005	24	0.601941634948155	0.655	1.425	1.06941666666667	1.005	24	0.601941634948155	0.655	1.425	1	1	24	0	1	1
2000_79_night	2000	79	night	24	3	3	24	0	3	3	0.28675	0.1085	20	0.785673822437249	-0.085	0.5225	0.28675	0.1085	20	0.785673822437249	-0.085	0.5225	0.362833333333333	0.0935	24	0.554060557565033	-0.0125	0.661	0.4331	0.234	20	0.583316732595865	-0.009	0.857	0	0	24	0	0	0
2000_79_day	2000	79	day	24	3	3	24	0	3	3	0.582565217391304	0.369	23	0.691646968940274	0.08275	1.16325	0.582565217391304	0.369	23	0.691646968940274	0.08275	1.16325	0.733125	0.8225	24	0.605381540668865	0.4205	1.18	0.733125	0.8225	24	0.605381540668865	0.4205	1.18	1	1	24	0	1	1
2000_80_night	2000	80	night	24	3	3	24	0	3	3	0.800857142857143	0.85	7	0.388387876815359	0.505	1.125	0.800857142857143	0.85	7	0.388387876815359	0.505	1.125	0.0550416666666667	-0.0185	24	0.349405517385902	-0.116	0.1425	0.0775789473684211	-0.013	19	0.391390727731746	-0.2045	0.2665	0	0	24	0	0	0
2000_80_day	2000	80	day	24	3	3	24	0	3	3	1.229	1.2175	4	0.502414835237443	0.798	1.66	1.229	1.2175	4	0.502414835237443	0.798	1.66	0.203125	0.085	24	0.676749090521546	-0.1775	0.5675	0.203125	0.085	24	0.676749090521546	-0.1775	0.5675	1	1	24	0	1	1
2000_81_night	2000	81	night	24	3	3	24	0	3	3	-0.0515	0.185	6	1.11858066316203	-0.906	0.437	-0.233625	-0.239	8	1.01003704847184	-0.9485	0.358	0.125375	0.068	24	0.185973773863998	0.0135	0.1715	0.121157894736842	0.067	19	0.190509919006245	0.01175	0.17925	0	0	24	0	0	0
2000_81_day	2000	81	day	24	3	3	24	0	3	3	0.6136	0.4685	10	0.760794935139117	-0.102	1.33	0.6136	0.4685	10	0.760794935139117	-0.102	1.33	1.23370588235294	1.1	17	1.66998251355762	0.00150000000000002	1.91	1.23370588235294	1.1	17	1.66998251355762	0.00150000000000002	1.91	1	1	24	0	1	1
2000_82_night	2000	82	night	24	3	3	24	0	3	3	0.819916666666667	0.975	12	1.02387965009506	0.577	1.34	0.904941176470588	0.95	17	1.02945431361646	0.366	1.535	0.305541666666667	0.121	24	0.554326224714109	-0.004	0.3905	0.532071428571429	0.266	14	0.634544350669859	0.19	1.11	0	0	24	0	0	0
2000_82_day	2000	82	day	24	3	3	24	0	3	3	0.734928571428571	0.857	14	0.49383327368435	0.327	1.14	0.388739130434783	0.327	23	0.812594454223983	-0.4185	1.0445	1.77695833333333	1.87	24	1.46334204979907	0.281	2.8	2.61686666666667	2.44	15	1.17255221429073	2.2825	3.2675	1	1	24	0	1	1
2000_83_night	2000	83	night	24	3	3	24	0	3	3	0.37895652173913	0.451	23	0.727593010502992	0.0255	0.97075	0.37895652173913	0.451	23	0.727593010502992	0.0255	0.97075	0.587666666666667	0.527	24	0.441861346210961	0.1075	0.9755	0.60895652173913	0.544	23	0.439025519889931	0.16475	0.98025	0	0	24	0	0	0
